"Identifiant opération";"Localisation station de mesure";"Code station";"X";"Y";"Identifiant point prélèvement";"Date réalisation";"Débit mesuré (m3/s)";"Débit station hydro (m3/s)";"Distance interpoint (m)";"Largeur plein bord évaluée (m)";"Largeur mouillée évaluée (m)";"Longueur réelle opération (m)";"Longueur théorique opération (m)";"Pente ligne d'eau (‰)";"Pente ligne d'eau évaluée";"Description habitat marginaux";"Continuité ripisylve rive gauche";"Continuité ripisylve rive droite";"Nom réseau de mesure";"Observations";"Version protocole";"Structure responsable";"Cours d'eau";"Nombre transect";"D16 (mm)";"D50 (mm)";"D84 (mm)";"Indice Folk et Ward";"Indice Fredle";"Surface mouillée Q1 (m2)";"Largeur mouillée Q1 (m)";"Périmètre mouillé Q1 (m)";"Profondeur maximum Q1 (m)";"Profondeur moyenne Q1 (m)";"Rayon hydraulique Q1";"Rapport largeur/Profondeur Q1";"Coefficient rugosité";"Surface mouillée Qb (m2)";"Largeur mouillée Qb (m)";"Périmètre mouillé Qb (m)";"Profondeur maximum Qb (m)";"Profondeur moyenne Qb (m)";"Rayon hydraulique Qb";"Rapport largeur/Profondeur Qb";"Force tractrice Qb  (N/m2)";"Débit plein bord (m3/s)";"Ecart type cote point";"Coefficient variation cote point";"Ecart type cote point en eau";"Coefficient variation cote point en eau";"Ecart type largeur mouillée Qb";"Coefficient variation largeur mouillée Qb";"Vitesse moyenne Qb (m/s)";"Ligne énergie Qb (m)";"Cote ligne énergie Qb";"Nombre de Froude Qb";"Puissance spécifique Qb (w/m2)";"Nombre de mouille";"Profondeur moyenne des mouilles (m)";"Nombre de berges total";"Nombre de berges artificialisées";"Score ripisylve";"Classe ripisylve";"% fines";"% graviers-cailloux";"% blocs-rochers";"Indice de Shannon granulo";"Surface BV (km2)";"Proportion de roche imperméable BV";"Code HER ou DOM dominant";"Nom HER ou DOM dominant";"Type DOM";"Coefficient de sinuosité";"Débit Q01 RHT (m3/s)";"Puissance Q01 RHT (w/m)";"Puissance spécifique Q01 RHT (w/m2)";"Station référence modèle";"Résidu modèle Largeur mouillée Qb";"Résidu modèle rapport largeur/profondeur Qb";"Résidu modèle profondeur mouilles";"Résidu modèle profondeur Qb";"Résidu modèle pente ligne d'eau";"Résidu modèle surface mouillée Qb";"Résidu standardisé modèle largeur mouillée Qb";"Résidu standardisé modèle rapport largeur/profondeur Qb";"Résidu standardisé modèle profondeur mouilles";"Résidu standardisé modèle profondeur Qb";"Résidu standardisé modèle pente ligne d'eau";"Résidu standardisé modèle surface mouillée Qb";"IMG";"Modèle référence IMG";"Classe écart IMG"
1457;"La Belle à Montigné";"05005350";450150,7;6572917;73189;2011-06-09;0,075;NA;0,5;6,6;3,85;93;NA;1,93;NA;"";"bosquets éparses";"isolée";"Contrôle de surveillance des cours d'eau du bassin Adour, Garonne, Dordogne, Charente et cours d'eau côtiers charentais et aquitains";"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Belle";15;8;47;101,16;1,642;10,95;0,946;4,478;4,593;0,3;0,211;0,205;16,429;5,193;3,37;6,51;6,957;0,735;0,528;0,491;8,918;9,289;0,478;0,284;0,003;0,113;0,542;1,449;0,223;0,147;0,736;100,347;0,065;1,459;4;0,087;30;0;0,325;2;41,732;50,394;7,874;2,176;48,28;0,004;9;"TABLES CALCAIRES";0;1,14;3,981;75,373;11,578;0;-0,08;0,304;-0,753;-0,411;-0,508;-0,416;-0,308;0,796;-1,596;-1,208;-0,63;-0,918;5,456;"TABLES CALCAIRES";"faible"
1467;"LE RHODON A MILON-LA-CHAPELLE 1";"03076080";628045;6848912;78192;2013-08-29;0,05;NA;0,4;2,9;2,5;41;NA;1,2;NA;"";"continue";"continue";NA;"Absence de radier";"2009-2016";"AQUABIO";"Rhodon";15;NA;NA;NA;NA;NA;0,003;1,523;1,523;0,002;0,002;0,002;641,957;40020,916;1,759;2,867;3,636;0,678;0,614;0,486;4,226;5,716;1506,778;0,288;0,003;0,001;0,5;0,396;0,138;871,318;39385,821;39485,794;355,002;6301,839;3;0,001;30;0;1,299;2;98,734;0;1,266;0,068;13,81;0;9;"TABLES CALCAIRES";0;1,02;0,394;4,638;1,618;0;-0,518;-0,324;-5,423;-0,23;-1,521;-0,408;-1,984;-0,85;-11,496;-0,676;-1,888;-0,899;17,793;"TABLES CALCAIRES";"tres fort"
1468;"L'YERRES A LE PLESSIS-FEU-AUSSOUX 1";"03077645";701514,92;6846385,06;78197;2013-08-27;0,53;NA;0,6;4,5;4,16;64;NA;0,3;NA;"";"semi-continue";"continue";NA;"Absence de radier. Station 100 m en amont du seuil. amont immédiat de l'ile";"2009-2016";"AQUABIO";"Yerres";15;NA;NA;NA;NA;NA;0,015;3,782;3,782;0,005;0,004;0,004;773,398;85077,2;3,175;5,057;5,627;0,666;0,627;0,564;7,59;1,661;3195,479;0,265;0,003;0,001;0,341;0,602;0,119;1022,357;54150,438;54250,424;412,4;1885,172;1;0,001;30;0;0,595;2;35,644;57,426;6,931;2,055;85,32;0;9;"TABLES CALCAIRES";0;1,01;2,944;8,664;1,713;0;-0,507;0,088;-5,561;-0,628;-2,125;-0,775;-1,939;0,232;-11,788;-1,848;-2,637;-1,71;20,154;"TABLES CALCAIRES";"tres fort"
1469;"LE RUISSEAU D'ORGEVAL A CHAPET 1";"03125925";621369,51;6874244,79;78466;2013-08-29;0,07;NA;0,3;2,9;2,2;40;NA;1,4;NA;"";"absence";"absence";"Réseau local de contrôle opérationnel des eaux superficielles de la direction Ile de France";"";"2009-2016";"AQUABIO";"Orgeval";15;NA;NA;NA;NA;NA;0,003;1,767;1,767;0,002;0,002;0,002;754,539;39610,562;2,716;2,918;3,986;0,982;0,931;0,685;2,972;9,41;3129,056;0,378;0,004;0,001;0,417;0,25;0,086;1161,9;69516,963;69616,932;384,623;14844,748;3;0,001;30;0;0;1;55,319;44,681;0;1,481;35,84;0;9;"TABLES CALCAIRES";0;1,16;0,817;11,221;3,845;0;-0,792;-0,767;-5,601;-0,06;-0,957;-0,475;-3,031;-2,011;-11,872;-0,175;-1,188;-1,048;19,324;"TABLES CALCAIRES";"tres fort"
1470;"LE RU DE CHANTEREINE A BROU-SUR-CHANTEREINE 1";"03111141";672835,07;6865850,54;78378;2013-08-27;0,004;NA;0,2;6,2;1,3;86;NA;1,05;NA;"";"absence";"absence";NA;"Station décalée vers l'amont pour ne pas être dans l'impact du seuil aval et représentative du troncon SYRAH. ";"2009-2016";"AQUABIO";"Chantereine";15;NA;NA;NA;NA;NA;0,002;1,246;1,246;0,002;0,002;0,002;590,996;4186,161;8,051;5,48;8,057;1,544;1,471;0,998;3,549;10,277;1090,527;0,385;0,004;0,001;0,485;0,551;0,101;136,501;958,701;1058,653;35,932;2068,926;3;0,001;30;0;0;1;38,889;56,481;4,63;2,126;18,26;0,011;9;"TABLES CALCAIRES";0;1;0,481;4,955;0,904;0;0,044;-0,525;-5,342;0,534;-1,534;0,966;0,169;-1,378;-11,323;1,571;-1,905;2,132;18,477;"TABLES CALCAIRES";"tres fort"
1471;"LA MAULDRE A BEYNES 5";"03169000";617381;6862869;78622;2013-08-28;0,5;NA;0,8;6,6;5,8;92;NA;5,1;NA;"";"bosquets éparses";"bosquets éparses";NA;"echelle limni 0.19 m";"2009-2016";"AQUABIO";"Mauldre";15;21,84;47;80;1,142;27,512;0,013;5,779;5,779;0,004;0,002;0,002;1789,638;31473,868;7,377;8,52;9,321;0,95;0,866;0,792;8,971;39,626;14193,601;0,392;0,004;0,002;0,742;0,681;0,08;1937,311;192698,417;192798,178;664,945;83886,403;4;0,002;30;5;0,087;1;18,103;64,655;17,241;2,084;227,5;0;9;"TABLES CALCAIRES";0;1,07;4,948;247,553;29,057;0;-0,284;0,162;-4,864;-0,479;1,13;-0,448;-1,089;0,426;-10,31;-1,408;1,403;-0,989;15,624;"TABLES CALCAIRES";"tres fort"
1472;"L'ÉCLIMONT A BOISSY-LA-RIVIERE 2";"03068292";637224,34;6808495,98;78185;2013-09-03;0,075;NA;0,5;4,4;3,9;64,4;NA;0,77;NA;"";"semi-continue";"bosquets éparses";NA;"Absence de radier";"2009-2016";"AQUABIO";"Eclimont";15;NA;NA;NA;NA;NA;0,009;3,641;3,641;0,004;0,002;0,002;1080,332;17839,439;0,82;4,765;4,854;0,182;0,172;0,169;26,239;1,276;124,069;0,08;0,001;0,001;0,562;0,917;0,193;157,815;1331,893;1431,865;121,573;204,781;4;0,001;30;8;0,35;4;85,981;9,346;4,673;1,276;112,02;0;9;"TABLES CALCAIRES";0;1,31;1,269;9,586;2,012;0;-0,649;1,303;-5,788;-1,985;-1,065;-2,272;-2,485;3,417;-12,269;-5,836;-1,322;-5,013;30,342;"TABLES CALCAIRES";"tres fort"
1473;"LE RU DES VAUX A CERNAY 1";"03075855";622895;6842589;78190;2013-08-28;0,046;NA;0,5;4,1;3,3;60;NA;2,1;NA;"";"continue";"continue";NA;"Absence de radier";"2009-2016";"AQUABIO";"Vaux";15;NA;NA;NA;NA;NA;0,006;2,886;2,887;0,004;0,002;0,002;951,456;10137,82;1,795;4,16;4,552;0,457;0,431;0,394;9,107;8,12;448,423;0,185;0,002;0,001;0,656;0,443;0,106;252,712;3295,701;3395,637;122,863;2245,263;2;0,002;30;0;1,299;2;100;0;0;0,702;22,94;0;9;"TABLES CALCAIRES";0;1,01;0,445;9,167;2,204;0;-0,301;0,395;-4,433;-0,731;-0,743;-0,654;-1,152;1,037;-9,397;-2,15;-0,923;-1,444;16,103;"TABLES CALCAIRES";"tres fort"
1476;"LA CHALOUETTE A CHALOU-MOULINEUX 1";"03068427";628189,82;6810879,04;78186;2013-09-03;0,063;NA;0,75;5,5;5,2;77;NA;0,4;NA;"";"semi-continue";"continue";NA;"Absence de radier";"2009-2016";"AQUABIO";"Chalouette";15;NA;NA;NA;NA;NA;0,004;5,2;5,2;0,001;0,001;0,001;3751,341;82453,419;4,287;6,302;6,868;0,719;0,68;0,625;8,769;2,453;5168,478;0,286;0,003;0;0,547;0,486;0,077;1213,978;75674,832;75774,815;470,174;3237,363;5;0;30;0;0,938;2;89,167;6,667;4,167;1,078;83,34;0;9;"TABLES CALCAIRES";0;1,02;1,166;4,575;0,726;0;-0,279;0,235;-6,874;-0,548;-1,847;-0,463;-1,069;0,616;-14,571;-1,61;-2,293;-1,021;21,18;"TABLES CALCAIRES";"tres fort"
1477;"Le ruisseau des Liauds à Champmillon";"05014060";467300;6508780;80247;2014-04-15;0,02;NA;0,16;1,7;1,33;24;NA;6,7;NA;"";"absence";"absence";NA;"Ancienne culture de maïs en rives gauche et droite sur l'ensemble des points Carhyce";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Liauds";15;12;21;36,16;0,853;15,221;0,127;1,116;1,309;0,183;0,114;0,095;6,995;9,186;0,688;1,798;2,385;0,572;0,385;0,289;3,198;18,963;0,226;0,226;0,002;0,075;0,639;0,282;0,157;0,334;0,577;100,315;0,173;8,44;4;0,077;30;0;0;1;40,351;59,649;0;1,619;6,45;0;9;"TABLES CALCAIRES";0;1,01;0,502;32,995;18,348;0;-0,752;-0,531;-0,668;-0,242;-0,128;-0,946;-2,88;-1,391;-1,417;-0,712;-0,159;-2,088;8,648;"TABLES CALCAIRES";"fort"
1478;"Le ruisseau de Tapauds à Champmillon";"05014050";465951;6508995;80246;2014-04-17;0,006;NA;0,13;3,03;0,92;42;NA;10,5;NA;"";"absence";"absence";NA;"RD champs labourés
RG blé céréales sur l'ensemble de la station";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Tapauds";15;15;25;39;0,697;17,863;0,054;0,978;1,09;0,123;0,056;0,051;10,928;7,768;0,862;2,465;2,896;0,584;0,349;0,301;4,372;31,048;0,309;0,27;0,003;0,061;1,043;0,144;0,058;0,362;0,591;100,245;0,196;12,936;2;0,247;30;0;0;1;31,496;68,504;0;1,569;12,94;0;9;"TABLES CALCAIRES";0;1,03;0,165;16,996;6,896;0;-0,65;-0,284;0,423;-0,366;0,62;-1,087;-2,487;-0,745;0,897;-1,077;0,77;-2,397;8,373;"TABLES CALCAIRES";"fort"
1490;"Le Bramerit en aval de Grandjean (Lieu-dit Chez Ferret)";"05006880";417358,72;6535918,5;73193;2015-05-19;0,21;NA;0,5;5,15;3,83;72;NA;1,8;NA;"";"continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Adour, Garonne, Dordogne, Charente et cours d'eau côtiers charentais et aquitains";"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Bramerit";15;7;11;16,16;0,588;8,528;1,427;3,95;4,313;0,533;0,359;0,327;7,942;7,314;3,979;5,124;6,025;1,098;0,78;0,659;4,753;11,641;0,935;0,427;0,004;0,185;0,503;0,58;0,113;0,241;1,101;100,503;0,088;3,261;3;0,186;30;0;0,65;2;64,646;21,212;14,141;1,639;7517,15;0,124;9;"TABLES CALCAIRES";0;1;580,614;10252,482;2000,704;0;-1,86;-0,805;-0,531;-1,064;1,592;-2,905;-7,12;-2,112;-1,126;-3,129;1,976;-6,411;21,874;"TABLES CALCAIRES";"tres fort"
1499;"OZON DE CHENEVELLES à ARCHIGNY";"04086060";524164;6624789;72347;2015-05-29;0,081;NA;0,5;4,9;3,8;68,6;NA;7;NA;"";"semi-continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Ozon de chenevelles";15;38;67;104,64;0,805;44,186;1,034;3,284;3,658;0,512;0,302;0,268;7,102;2,251;2,973;4,522;5,269;0,991;0,655;0,56;4,696;38,463;0,381;0,408;0,004;0,218;0,701;0,703;0,155;0,138;0,992;100,24;0,057;5,92;4;0,173;30;0;0,595;2;31,579;56,579;11,842;2,249;29,48;0;9;"TABLES CALCAIRES";0;1,15;0,86;59,056;13,061;0;-0,294;-0,291;-0,017;-0,009;0,569;-0,282;-1,126;-0,763;-0,035;-0,027;0,706;-0,622;3,279;"TABLES CALCAIRES";"tres faible"
1503;"La Guirlande à Vaux-Rouillac";"05013680";460488;6518444;80245;2014-04-15;0,02;NA;0,26;2,45;1,8;34,3;NA;10;NA;"";"bosquets éparses";"continue";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Guirlande";15;15;40,5;70,8;1,091;20,395;0,197;1,703;1,875;0,229;0,113;0,102;10,114;4,669;1,221;2,659;3,274;0,692;0,463;0,373;3,964;36,615;0,295;0,275;0,003;0,093;0,812;0,431;0,162;0,248;0,695;100,295;0,118;11,177;2;0,198;30;0;0,541;2;7,08;85,841;7,08;1,926;8,77;0;9;"TABLES CALCAIRES";0;1,01;0,653;64,059;24,091;0;-0,455;-0,345;0,244;-0,115;0,404;-0,534;-1,742;-0,904;0,517;-0,339;0,502;-1,179;5,183;"TABLES CALCAIRES";"faible"
1506;"L'ARDRE A COURTAGNON 1";"03161230";768473;6894080;78587;2013-09-17;0,017;NA;0,33;6,5;2,33;85;NA;16,4;NA;"";"semi-continue";"semi-continue";NA;"14 transects réalisés au lieu de 15 car confluence juste après le 14ème modifiant le profil
Les mesures à haut débit ont été faites avant le bas débit car crue lors de la date prévue initialement pour mesures classiques";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Ardre";14;43;79,5;116,32;0,653;49,348;0,377;2,177;2,354;0,262;0,17;0,151;12,893;1,24;6,342;5,837;7,331;1,744;1,091;0,863;3,385;138,815;0,913;0,761;0,008;0,141;0,811;1,061;0,182;0,149;1,745;100,79;0,046;25,953;4;0,215;28;0;0,541;2;18,478;43,478;38,043;1,865;14,43;0;9;"TABLES CALCAIRES";0;1,01;0,442;71,111;12,183;0;0,179;-0,55;0,273;0,705;1,113;0,852;0,685;-1,443;0,579;2,072;1,381;1,879;8,04;"TABLES CALCAIRES";"fort"
1508;"R LA VENDELOGNE A AYRON";"04524000";474620,2;6620806;80241;2013-09-06;0,302;NA;0,7;5,5;4,57;77;NA;7,4;NA;"";"isolée";"espacée-régulière";"Réseau de référence pérenne de la qualité des cours d'eau du bassin Adour-Garonne";"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Vendelogne";15;41,84;63,5;105,16;0,74;50,443;0,829;4,125;4,242;0,308;0,199;0,193;14,311;12,702;2,768;5,847;6,144;0,696;0,481;0,456;8,446;33,106;1,792;0,331;0,003;0,109;0,552;1,356;0,232;0,667;0,719;100,126;0,31;23,138;4;0,066;30;1;0,271;2;35;40;25;2,183;40,24;0,638;9;"TABLES CALCAIRES";0;1,17;3,932;285,44;48,819;0;-0,132;0,267;-1,013;-0,428;0,758;-0,517;-0,506;0,699;-2,148;-1,258;0,941;-1,14;6,692;"TABLES CALCAIRES";"moyen"
1510;"BOIVRE à POITIERS";"04082930";484766;6611132;72342;2015-05-21;NA;0,4;0,8;7,2;5,7;100,8;NA;0,25;NA;"";"absence";"bosquets éparses";"Réseau Hydrobiologique et Piscicole";"X amont 484892.20 Y amont 6610751.80

X aval 485020.00 Y aval 6610759.40
en Lambert 93";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Boivre";15;35;66;104,16;0,766;40,76;2,593;6,15;6,477;0,529;0,411;0,39;11,793;18,289;4,064;6,889;7,365;0,753;0,583;0,544;9,22;1,334;0,783;0,309;0,003;0,146;0,335;1,172;0,17;0,21;0,756;100,214;0,091;0,286;4;0,092;30;3;0,191;4;56,522;39,13;4,348;1,961;125,66;0,803;9;"TABLES CALCAIRES";0;1,1;9,669;23,713;3,442;0;-0,316;0,246;-0,801;-0,586;-2,14;-0,732;-1,208;0,645;-1,698;-1,724;-2,657;-1,615;9,548;"TABLES CALCAIRES";"tres fort"
1512;"ENVIGNE À CHATELLERAULT-THURE";"04086320";502055;6634626;72348;2015-05-28;396;NA;0,7;10,6;4,8;148;NA;0,8;NA;"";"isolée";"absence";"Réseau Hydrobiologique et Piscicole";"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Envigne";15;46,84;102;182,32;0,905;60,788;2,386;5,136;5,632;0,779;0,462;0,418;7,261;10498,024;9,129;9,326;10,501;1,715;0,981;0,87;5,514;6,828;2470,337;0,627;0,006;0,309;0,68;1,56;0,167;281,796;4201,12;4300,282;92,273;2131,228;6;0,199;30;0;0,014;1;93,913;2,609;3,478;1,322;196,79;0,106;9;"TABLES CALCAIRES";0;1,13;4,893;38,4;4,118;0;-0,15;-0,311;-0,081;0,143;-0,785;-0,159;-0,573;-0,814;-0,171;0,42;-0,974;-0,35;3,303;"TABLES CALCAIRES";"tres faible"
1523;"L'Argent-Or à Poursac";"05022400";487488,3;6543783;73223;2015-06-25;NA;0,23;1,2;10,5;8,5;147;NA;0,58;NA;"";"semi-continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Adour, Garonne, Dordogne, Charente et cours d'eau côtiers charentais et aquitains";"En Rive Droite bande enherbée et culture de maïs

Concrétions sur l'ensemble de la station

";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Argent or";15;10,84;40;84,16;1,373;15,292;3,655;8,365;8,577;0,647;0,44;0,428;14,201;4,601;7,843;10,192;10,624;1,093;0,777;0,743;9,689;4,229;0,713;0,419;0,004;0,232;0,534;1,234;0,121;0,093;1,093;100,403;0,034;0,403;2;0,258;30;2;0,595;2;25,688;67,89;6,422;2,122;92,46;0;9;"TABLES CALCAIRES";0;1,04;9,835;55,959;5,49;0;0,17;0,325;0,261;-0,15;-1,431;0,087;0,649;0,852;0,554;-0,442;-1,776;0,192;4,464;"TABLES CALCAIRES";"tres faible"
1527;"L'Argent à Vieux-Cérier";"05022450";503875;6543272,5;73224;2015-06-25;0;NA;0,2;2,9;1,4;41;NA;5,5;NA;"";"absence";"isolée";"Contrôle de surveillance des cours d'eau du bassin Adour, Garonne, Dordogne, Charente et cours d'eau côtiers charentais et aquitains";"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Argent";15;NA;NA;NA;NA;NA;0,059;0,879;0,909;0,085;0,053;0,05;12,859;0,336;0,523;2,27;2,451;0,349;0,233;0,214;6,766;11,554;0,005;0,144;0,001;0,053;0,812;0,535;0,235;0,01;0,349;100,152;0,007;0,118;3;0,067;30;0;0,014;4;93,243;6,757;0;0,85;3,5;0;9;"TABLES CALCAIRES";0;1,01;2,931;158,142;69,667;0;-0,333;0,277;-0,737;-0,609;-0,589;-0,899;-1,274;0,726;-1,563;-1,791;-0,731;-1,983;8,068;"TABLES CALCAIRES";"fort"
1537;"L'AUBE A HANNAPPES 1";"03128837";788453;6970212;78473;2013-07-18;0,58;NA;0,9;9,1;6,4;128;NA;0,93;NA;"";"bosquets éparses";"semi-continue";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Aube";14;23;41,5;82,48;0,929;28,979;2,416;5,988;6,308;0,551;0,4;0,378;11,976;15,071;14,555;9,484;11,277;2,136;1,53;1,284;4,459;11,717;7,904;0,849;0,008;0,191;0,465;1,233;0,13;0,56;2,152;101,546;0,146;7,726;3;0,202;28;4;0,303;2;45,545;50,495;3,96;1,947;90,74;0;9;"TABLES CALCAIRES";0;1,09;7,164;65,359;6,892;0;0,103;-0,449;0,018;0,524;-0,967;0,715;0,395;-1,178;0,039;1,54;-1,2;1,578;5,929;"TABLES CALCAIRES";"faible"
1538;"MIOSSON à SMARVES";"04082920";498588;6605937;72341;2015-06-29;NA;0,082;0,6;5,4;4,3;76;NA;2,7;NA;"";"continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"Cours d'eau encombré par de nombreuses branches beaucoup de ronciers travail d'élagage important effectué par agents de l'ONEMA au début du Carhyce";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Miosson";15;47;83;123,32;0,71;57,416;1,378;4,632;4,831;0,449;0,272;0,258;12,668;2,825;3,843;6,279;6,763;0,892;0,608;0,559;7,517;14,803;0,383;0,334;0,003;0,222;0,766;1,296;0,206;0,113;0,892;100,338;0,05;1,663;4;0,076;30;1;0,65;2;43,243;38,739;18,018;2,045;131,27;0,654;9;"TABLES CALCAIRES";0;1,02;9,589;253,984;40,452;0;-0,422;0,038;-1;-0,427;0,258;-0,811;-1,615;0,099;-2,119;-1,256;0,32;-1,789;7,197;"TABLES CALCAIRES";"moyen"
1584;"VENDELOGNE à AYRON";"04084200";476602;6621592;72344;2015-10-09;0,016;0,016;0,6;6,2;4,3;87;NA;3,9;NA;"";"isolée";"bosquets éparses";"Réseau complémentaire de suivi de la qualité des eaux superficielles sur le bassin Loire-Bretagne (RCALB)";"A1 et A2 bâtons cassés
B2 pas de tache significative";"2009-2016";"AQUABIO";"Vendelogne";15;22;46;74,64;0,973;25,981;0,693;3,285;3,387;0,275;0,185;0,179;15,182;1,165;3,712;6,508;6,887;0,867;0,571;0,537;7,695;20,556;0,179;0,383;0,004;0,149;0,738;0,934;0,143;0,05;0,867;100,424;0,022;1,069;3;0,123;30;10;0,231;2;7,5;67,5;25;1,893;60,21;0,459;9;"TABLES CALCAIRES";0;1,03;5,89;225,346;34,627;0;-0,148;0,135;-0,435;-0,292;0,291;-0,435;-0,567;0,354;-0,922;-0,858;0,361;-0,961;4,023;"TABLES CALCAIRES";"tres faible"
1585;"R LA VENDELOGNE A AYRON";"04524000";474651;6620890;72591;2015-10-20;0,056;0,056;0,6;6;4,5;84;NA;0,71;NA;"";"isolée";"semi-continue";"Réseau complémentaire de suivi de la qualité des eaux superficielles sur le bassin Loire-Bretagne (RCALB)";"pas de bâtonnets retrouvés. trop de végétation
petit radier.";"2009-2016";"AQUABIO";"Vendelogne";15;76,84;97,5;120;0,33;81,765;1,081;4,579;4,752;0,378;0,232;0,223;12,896;5,29;3,186;6,639;7,013;0,751;0,482;0,455;9,035;3,169;0,266;0,291;0,003;0,136;0,564;0,791;0,119;0,086;0,752;100,344;0,04;0,283;3;0,059;30;1;0,144;1;22,881;57,627;19,492;1,829;40,24;0,638;9;"TABLES CALCAIRES";0;1,17;3,932;27,387;4,125;0;-0,005;0,334;-1,135;-0,351;-1,586;-0,376;-0,02;0,876;-2,406;-1,033;-1,969;-0,83;7,133;"TABLES CALCAIRES";"moyen"
1587;"R LUIRE A PLEUMARTIN";"04560003";528630;6630368;72592;2015-10-21;0,005;0,005;0,25;3,1;1,6;43,4;NA;7,5;NA;"";"absence";"isolée";"Réseau complémentaire de suivi de la qualité des eaux superficielles sur le bassin Loire-Bretagne (RCALB)";"petit radier. 50 cailloux";"2009-2016";"AQUABIO";"Luire";15;17,68;54,5;105,96;1,267;21,002;0,155;1,09;1,254;0,214;0,131;0,111;6,375;1,606;1,525;2,793;3,695;0,965;0,547;0,411;2,924;30,256;0,117;0,397;0,004;0,102;0,712;0,295;0,105;0,078;0,966;100,589;0,034;3,124;3;0,105;30;0;0,014;1;47,059;24,706;28,235;1,543;15,76;0;9;"TABLES CALCAIRES";0;1,02;0,177;13,023;4,663;0;-0,585;-0,705;-0,455;0,095;0,368;-0,62;-2,239;-1,849;-0,965;0,28;0,457;-1,368;7,157;"TABLES CALCAIRES";"moyen"
1588;"R LUIRE A PLEUMARTIN";"04560004";528882,9;6629805;72593;2015-10-21;0,004;0,004;0,25;2,4;1,6;33,6;NA;5,3;NA;"";"continue";"continue";"Réseau complémentaire de suivi de la qualité des eaux superficielles sur le bassin Loire-Bretagne (RCALB)";"";"2009-2016";"AQUABIO";"Luire";15;14,84;32;53,48;0,896;17,542;0,108;1,305;1,393;0,135;0,078;0,073;12,519;2,924;0,941;2,428;2,906;0,573;0,392;0,325;4,318;16,879;0,095;0,234;0,002;0,065;0,819;0,327;0,135;0,102;0,573;100,35;0,053;2,063;4;0,059;30;0;1,299;2;44,643;50,893;4,464;1,916;5,09;0;9;"TABLES CALCAIRES";0;1,01;0,177;9,203;3,79;0;-0,38;-0,208;-0,903;-0,191;-0,465;-0,508;-1,454;-0,545;-1,913;-0,562;-0,577;-1,121;6,171;"TABLES CALCAIRES";"moyen"
1595;"L'AUBETTE A OMERVILLE 1";"03177760";605168;6895581;78740;2013-09-21;0,166;NA;0,6;5,4;4,1;76;NA;1,09;NA;"";"continue";"continue";NA;"Mesures de la granulométrie sur le radier réalisées hors station";"2009-2016";"AQUABIO";"Aubette";15;24,84;69,5;147,16;1,294;30,936;1,057;3,627;3,908;0,444;0,291;0,269;8,358;11,424;2,615;4,476;5,034;0,831;0,585;0,519;5,413;5,555;0,637;0,342;0,003;0,14;0,487;0,817;0,182;0,253;0,834;100,349;0,107;1,571;4;0,069;30;0;0,866;2;68,367;26,531;5,102;1,892;95,23;0;9;"TABLES CALCAIRES";0;1,05;1,41;15,077;3,368;0;-0,662;-0,26;-1,062;-0,431;-0,787;-1,027;-2,535;-0,682;-2,251;-1,267;-0,977;-2,266;9,977;"TABLES CALCAIRES";"tres fort"
1596;"LE CUDRON A SAINT-CLAIR-SUR-EPTE 1";"03177540";604383;6901698;78726;2013-09-21;0,067;NA;0,25;2;1,8;28;NA;3;NA;"";"absence";"absence";NA;"Radier trop petit pour effectuer la mesure";"2009-2016";"AQUABIO";"Cudron";15;13,68;35;67,76;1,133;18,404;0,18;1,308;1,471;0,189;0,134;0,119;7,217;28,045;0,894;1,794;2,404;0,65;0,496;0,373;2,766;10,988;0,712;0,3;0,003;0,061;0,446;0,348;0,194;0,836;0,687;100,456;0,384;12,029;4;0,044;30;0;0;1;26,471;54,412;19,118;2,128;42,3;0;9;"TABLES CALCAIRES";0;1,4;0,852;25,074;13,98;0;-1,329;-0,855;-1,418;-0,507;-0,124;-1,674;-5,087;-2,241;-3,006;-1,489;-0,153;-3,694;15,67;"TABLES CALCAIRES";"tres fort"
