"Identifiant opération";"Localisation station de mesure";"Code station";"X";"Y";"Identifiant point prélèvement";"Date réalisation";"Débit mesuré (m3/s)";"Débit station hydro (m3/s)";"Distance interpoint (m)";"Largeur plein bord évaluée (m)";"Largeur mouillée évaluée (m)";"Longueur réelle opération (m)";"Longueur théorique opération (m)";"Pente ligne d'eau (‰)";"Pente ligne d'eau évaluée";"Description habitat marginaux";"Continuité ripisylve rive gauche";"Continuité ripisylve rive droite";"Nom réseau de mesure";"Observations";"Version protocole";"Structure responsable";"Cours d'eau";"Nombre transect";"D16 (mm)";"D50 (mm)";"D84 (mm)";"Indice Folk et Ward";"Indice Fredle";"Surface mouillée Q1 (m2)";"Largeur mouillée Q1 (m)";"Périmètre mouillé Q1 (m)";"Profondeur maximum Q1 (m)";"Profondeur moyenne Q1 (m)";"Rayon hydraulique Q1";"Rapport largeur/Profondeur Q1";"Coefficient rugosité";"Surface mouillée Qb (m2)";"Largeur mouillée Qb (m)";"Périmètre mouillé Qb (m)";"Profondeur maximum Qb (m)";"Profondeur moyenne Qb (m)";"Rayon hydraulique Qb";"Rapport largeur/Profondeur Qb";"Force tractrice Qb  (N/m2)";"Débit plein bord (m3/s)";"Ecart type cote point";"Coefficient variation cote point";"Ecart type cote point en eau";"Coefficient variation cote point en eau";"Ecart type largeur mouillée Qb";"Coefficient variation largeur mouillée Qb";"Vitesse moyenne Qb (m/s)";"Ligne énergie Qb (m)";"Cote ligne énergie Qb";"Nombre de Froude Qb";"Puissance spécifique Qb (w/m2)";"Nombre de mouille";"Profondeur moyenne des mouilles (m)";"Nombre de berges total";"Nombre de berges artificialisées";"Score ripisylve";"Classe ripisylve";"% fines";"% graviers-cailloux";"% blocs-rochers";"Indice de Shannon granulo";"Surface BV (km2)";"Proportion de roche imperméable BV";"Code HER ou DOM dominant";"Nom HER ou DOM dominant";"Type DOM";"Coefficient de sinuosité";"Débit Q01 RHT (m3/s)";"Puissance Q01 RHT (w/m)";"Puissance spécifique Q01 RHT (w/m2)";"Station référence modèle";"Résidu modèle Largeur mouillée Qb";"Résidu modèle rapport largeur/profondeur Qb";"Résidu modèle profondeur mouilles";"Résidu modèle profondeur Qb";"Résidu modèle pente ligne d'eau";"Résidu modèle surface mouillée Qb";"Résidu standardisé modèle largeur mouillée Qb";"Résidu standardisé modèle rapport largeur/profondeur Qb";"Résidu standardisé modèle profondeur mouilles";"Résidu standardisé modèle profondeur Qb";"Résidu standardisé modèle pente ligne d'eau";"Résidu standardisé modèle surface mouillée Qb";"IMG";"Modèle référence IMG";"Classe écart IMG"
2009;"L'YSER À BAMBECQUE (59)";"01089000";668113;7089155;165978;2015-06-29;0,078;NA;0,8;10,7;5,67;150;NA;1,78;NA;"";"isolée";"isolée";"Contrôle de surveillance des cours d'eau du bassin Escaut, Somme et cours d'eau côtiers de la Manche et de la Mer du Nord";"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Yser";15;11,84;24,5;65,32;1,203;14,324;1,549;5,494;5,681;0,429;0,282;0,272;16,447;2,845;13,591;8,797;10,265;2,071;1,552;1,328;4,291;23,187;1,971;0,876;0,009;0,168;0,594;0,829;0,094;0,146;2,072;101,51;0,038;3,944;2;0,204;30;1;0,029;1;90,506;8,228;1,266;1,343;245,8;1;20;"DEPOTS ARGILO SABLEUX";0;1,11;0;0;0;0;-0,406;-0,331;0,131;-0,074;0,768;-0,427;-1,729;-1,184;0,007;-0,276;1,003;-0,967;5,167;"Plaine/collinéen détritique";"faible"
2033;"DHUY à SANDILLON";"04051125";628799;6746263;117353;2015-06-18;0,296;NA;1;10,7;6,8;150;NA;0,26;NA;"";"continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Dhuy";15;8;14,5;26,16;0,833;9,049;1,733;5,126;5,359;0,427;0,328;0,313;12,389;22,996;15,293;10,439;11,982;2,228;1,464;1,274;4,692;3,249;6,664;0,902;0,009;0,152;0,442;0,791;0,076;0,442;2,238;101,792;0,117;1,637;2;0,106;30;2;0,469;2;62,963;33,333;3,704;1,427;136,21;0,39;20;"DEPOTS ARGILO SABLEUX";0;1,15;3,888;9,917;0,95;0;-0,03;-0,2;-0,453;0,161;-1,514;0,07;-0,348;-0,76;-0,577;0,333;-2,583;-0,048;4,65;"Plaine/collinéen détritique";"faible"
2049;"BEC D'ABLE à SULLY-SUR-LOIRE";"04049625";649256;6740396;117277;2015-05-21;0,214;NA;0,8;7,8;5,75;110;NA;0,42;NA;"";"isolée";"isolée";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"Bâtonnets perdus. Pas de lecture de colmatage.";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Bec d'able";15;6;13;22,32;0,984;7,391;1,327;5,917;6,296;0,427;0,225;0,21;17,796;22,25;12,082;9,191;10,775;1,822;1,339;1,139;5,153;4,695;6,01;0,718;0,007;0,161;0,688;2,424;0,264;0,513;1,836;101,386;0,142;2,854;4;0,362;30;2;0,029;1;58,333;38,333;3,333;1,246;91;0,836;20;"DEPOTS ARGILO SABLEUX";0;1,02;4,123;16,988;1,848;0;-0,018;-0,078;0,825;0,07;-1,279;0,094;-0,303;-0,364;0,701;0,098;-2,214;-0,004;3,684;"Plaine/collinéen détritique";"tres faible"
2064;"THARONNE à NEUNG-SUR-BEUVRON";"04052265";611840;6719049;117496;2015-06-22;0,032;NA;0,5;5,3;3,5;74,2;NA;1,05;NA;"";"semi-continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"la mesure de la granulométrie a été mesurée sur 2 radiers
Batonnets radier B perdus";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Tharonne";15;5;16;22;1,111;7,036;0,382;3,215;3,368;0,216;0,117;0,109;20,141;11,304;4,525;5,361;6,333;1,165;0,845;0,713;4,646;7,345;1,323;0,445;0,004;0,113;0,94;0,727;0,136;0,297;1,17;100,915;0,103;2,581;3;0,238;30;0;0,801;2;79,245;19,811;0,943;0,887;62,18;0,603;20;"DEPOTS ARGILO SABLEUX";0;1,07;2,407;24,793;4,624;0;-0,425;-0,155;0,449;-0,272;-0,594;-0,643;-1,8;-0,613;0,325;-0,792;-1,137;-1,364;6,032;"Plaine/collinéen détritique";"moyen"
2348;"LA SAMBRE RIVIÈRE À BERGUES SUR SAMBRE (02)";"01009300";751051;6993135;165948;2016-07-26;0,014;NA;0,6;5,6;3,75;78;NA;2,8;NA;"";"semi-continue";"semi-continue";"Contrôle de surveillance des cours d'eau du bassin Sambre";"14 transects au lieu de 15 car 14ème au niveau de la fin de la station Carhyce";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Sambre";14;22;31,5;54;0,64;25,043;0,999;3,329;3,576;0,413;0,29;0,265;10,229;0,642;5,256;5,73;6,705;1,377;0,924;0,783;4,224;21,519;0,152;0,602;0,006;0,2;0,681;1,401;0,245;0,03;1,377;100,862;0,01;0,767;3;0,339;28;0;0,39;4;30,851;65,957;3,191;2,017;20,53;0;20;"DEPOTS ARGILO SABLEUX";0;1,18;1,215;33,374;5,825;1;0,025;-0,172;0,938;0,198;-0,285;0,219;-0,145;-0,669;0,814;0,429;-0,652;0,227;2,936;"Plaine/collinéen détritique";"tres faible"
2349;"L'HELPE MINEURE À MAROILLES (59)";"01006000";757929;7002371;165945;2016-08-18;0,386;0,931;1,2;15,3;8,4;215;NA;2,5;NA;"";"bosquets éparses";"bosquets éparses";"Contrôle de surveillance des cours d'eau du bassin Sambre";"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Helpe mineure";16;25;39;53,48;0,525;28,907;3,388;8,979;9,249;0,581;0,382;0,369;19,347;4,432;35,13;15,487;17,835;3,154;2,272;1,969;4,935;48,286;12,229;1,181;0,012;0,237;0,626;1,763;0,114;0,352;3,161;102,293;0,075;19,592;6;0,206;32;3;0,31;4;22,835;65,354;11,811;2,176;248,65;0,097;20;"DEPOTS ARGILO SABLEUX";0;1,17;11,074;271,59;17,537;0;0,156;-0,192;0,141;0,344;1,114;0,515;0,335;-0,734;0,017;0,808;1,548;0,772;4,214;"Plaine/collinéen détritique";"tres faible"
2352;"La Bonnieure au pont des Pins";"05020000";497662,62;6527857,5;136545;2016-10-06;NA;0,06;1;8,25;7,37;115;NA;1,54;NA;"";"semi-continue";"bosquets éparses";"Contrôle de surveillance des cours d'eau du bassin Adour, Garonne, Dordogne, Charente et cours d'eau côtiers charentais et aquitains";"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Bonnieure";15;11;23;52,96;1,089;13,058;3,189;7,812;8,088;0,542;0,401;0,386;16,97;0,904;7,686;8,942;9,637;1,069;0,859;0,794;8,609;12,002;0,234;0,42;0,004;0,208;0,518;0,658;0,074;0,032;1,069;100,438;0,011;0,397;2;0,166;30;0;0,487;2;32,5;54,167;13,333;2,267;138,75;0,326;20;"DEPOTS ARGILO SABLEUX";0;1,12;15,876;239,845;26,824;0;-0,192;0,405;-0,006;-0,578;0,276;-0,63;-0,941;1,203;-0,129;-1,586;0,23;-1,34;5,429;"Plaine/collinéen détritique";"faible"
2427;"BONNE HEURE à BAUZY";"04052520";597675;6713709;117541;2016-08-11;NA;NA;0,6;9,43;4,06;132;NA;0,3;NA;"Pas de radier. Pas de granulometrie et pas de batonnets. ";"continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Bonne heure";15;NA;NA;NA;NA;NA;1,76;4,425;4,785;0,576;0,395;0,363;8,25;0,077;15,147;10,943;12,506;2,319;1,387;1,212;4,74;3,568;0,023;0,827;0,008;0,183;0,448;1,065;0,097;0,002;2,319;101,723;0;0,006;4;0,194;30;0;1,299;2;97,26;2,055;0,685;0,989;101,02;0,508;20;"DEPOTS ARGILO SABLEUX";0;1,21;3,408;10,03;0,917;0;0,12;-0,169;0,187;0,283;-1,552;0,253;0,206;-0,659;0,064;0,649;-2,643;0,289;4,51;"Plaine/collinéen détritique";"faible"
2444;"LE PUISEAUX A NOGENT-SUR-VERNISSON 1";"03052338";678554;6751036;98622;2016-06-27;0,261;NA;0,6;6,4;4,2;90;NA;2,58;NA;"";"continue";"continue";"Réseau local de contrôle de surveillance des eaux superficielles de la direction Seine Amont";"Station décalée vers l'aval en raison d'un encombre de crue rehaussant la ligne d'eau";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Puiseaux";15;NA;NA;NA;NA;NA;0,952;3,95;4,128;0,347;0,235;0,223;13,703;14,684;4,931;6,595;7,313;1,113;0,747;0,671;5,993;16,994;2,82;0,446;0,004;0,153;0,641;0,967;0,147;0,589;1,131;100,669;0,22;11,021;3;0,214;30;0;1,299;2;28,182;67,273;4,545;1,907;54,21;0,07;20;"DEPOTS ARGILO SABLEUX";0;1,01;3,234;81,852;12,412;0;-0,171;0,109;0,359;-0,281;0,222;-0,469;-0,864;0,243;0,235;-0,814;0,145;-1,043;3,345;"Plaine/collinéen détritique";"tres faible"
2798;"NEANT à SAINT-VIATRE";"04052350";622072;6716979;117505;2017-10-10;0,712;NA;1;8,2;7,65;115;NA;1,4;NA;"";"continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"Pas de radier et de pas de pose de batonnets";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Neant";15;NA;NA;NA;NA;NA;4,174;7,961;8,431;0,691;0,528;0,496;12,168;7,281;5,938;8,347;8,939;0,906;0,716;0,665;9,512;9,131;1,232;0,363;0,004;0,191;0,355;1,086;0,13;0,213;0,908;100,137;0,082;2,066;4;0,171;30;0;1,299;2;97,17;1,887;0,943;0,425;67,36;0,563;20;"DEPOTS ARGILO SABLEUX";0;1,03;3,016;41,422;4,963;0;-0,01;0,556;0,109;-0,546;-0,258;-0,423;-0,274;1,691;-0,014;-1,502;-0,608;-0,958;5,048;"Plaine/collinéen détritique";"faible"
2806;"LA BÉZONDE A LADON 1";"03052450";663420;6766635;78134;2017-09-05;0,04;NA;0,6;6,2;3,9;86,8;NA;0,23;NA;"";"semi-continue";"isolée";"Réseau de gestion des eaux superficielles de la DSAM";"Radier pour la mesure de granulo situé en aval du pont. Vu sa faible taille seuls 50 substrats ont été mesurés";"2017";"AQUABIO";"Bezonde";15;7;28;63,8;1,667;10,379;0,358;2,556;2,653;0,2;0,143;0,137;13,534;27,806;6,112;6,901;7,84;1,497;0,887;0,781;4,612;1,762;2,186;0,581;0,006;0,06;0,426;0,41;0,059;0,36;1,504;101,294;0,123;0,717;2;0,066;30;0;NA;4;80;20;0;1,503;41,2;0;20;"DEPOTS ARGILO SABLEUX";0;1,04;1,833;4,136;0,599;0;-0,03;-0,133;-0,783;0,091;-2,362;-0,078;-0,348;-0,543;-0,907;0,152;-3,916;-0,321;6,186;"Plaine/collinéen détritique";"moyen"
2808;"L'HUILLARD A CHEVILLON-SUR-HUILLARD 1";"03052656";670697;6762548;78136;2017-09-04;0,026;NA;0,5;10,4;3,6;146;NA;2;NA;"chevelus racinaires";"semi-continue";"semi-continue";"Réseau de gestion des eaux superficielles de la DSAM";"";"2017";"AQUABIO";"Huillard";16;1;13;24;1,942;1,549;0,419;3,719;3,781;0,187;0,113;0,11;25,92;6,039;6,204;6,818;7,474;1,239;0,918;0,837;5,525;16,422;1,488;0,539;0,005;0,081;0,734;1,032;0,151;0,242;1,242;100,9;0,081;4,368;4;0,11;32;0;0,541;2;57,658;35,135;7,207;2,046;175,93;0;20;"DEPOTS ARGILO SABLEUX";0;1,18;6,236;122,35;17,944;0;-0,545;-0,055;-0,448;-0,496;0,681;-0,996;-2,24;-0,289;-0,572;-1,373;0,867;-2,017;7,357;"Plaine/collinéen détritique";"moyen"
2830;"BEUVRON à CHAUMONT-SUR-THARONNE";"04052220";618773;6720045;117486;2017-06-09;0,61;NA;1,1;11,43;7,93;160;NA;0,6;NA;"";"semi-continue";"semi-continue";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"Pas de radier. Woolman non réalisable. Pas de bâtonnets";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Beuvron";15;NA;NA;NA;NA;NA;1,789;8,334;8,496;0,361;0,216;0,212;24,511;39,186;10,869;11,889;12,676;1,221;0,918;0,861;9,796;5,068;9,443;0,441;0,004;0,111;0,509;1,554;0,131;0,88;1,261;100,853;0,294;4,751;4;0,069;30;0;1,126;2;97,6;0,8;1,6;0,388;381,79;0,711;20;"DEPOTS ARGILO SABLEUX";0;1,09;16,346;96,213;8,092;0;-0,257;0,463;-1,004;-0,722;-0,053;-0,934;-1,183;1,391;-1,127;-1,96;-0,286;-1,902;7,848;"Plaine/collinéen détritique";"fort"
2831;"ARDOUX à CLERY-SAINT-ANDRE";"04051650";609221;6746388;117425;2017-06-20;0,001;NA;0,3;5,86;2,13;82;NA;1,4;NA;"";"semi-continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"Station sous influence d'un barrage de castor en amont. Pas de pose de bâtonnets substrat impénétrable";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Ardoux";15;14;22;37,16;0,652;16,588;0,314;2,268;2,39;0,217;0,121;0,113;14,325;0,365;3,756;5,218;6,044;1,067;0,724;0,622;4,974;8,537;0,037;0,398;0,004;0,133;1,003;0,719;0,138;0,01;1,067;100,792;0,004;0,1;4;0,154;30;0;0,769;4;73,333;26;0,667;1,461;94,41;0,987;20;"DEPOTS ARGILO SABLEUX";0;1,04;1,625;22,318;4,277;0;-0,597;-0,116;-0,036;-0,475;-0,053;-1,098;-2,431;-0,487;-0,16;-1,318;-0,287;-2,204;6,888;"Plaine/collinéen détritique";"moyen"
3033;"L'HOGNEAU À GUSSIGNIES (59)";"01001336";752673;7026489;165939;2018-07-12;0,157;0,157;1;9,47;7,2;140;NA;2,8;NA;"1 gros embâcle sur toute la largeur du cours d'eau aval T12";"semi-continue";"semi-continue";NA;"protocole réalisé comme cours d'eau encaissé ou gorges et non au débordement comme habituellement car ne déborde pas";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Hogneau";15;27,84;52;89,48;0,766;33,26;1,633;6,607;6,784;0,415;0,255;0,244;23,29;4,658;9,557;9,259;10,295;1,359;1,04;0,931;7,086;25,573;2,246;0,542;0,005;0,217;0,898;1,439;0,155;0,242;1,362;100,761;0,077;6,812;3;0,278;30;0;1,126;NA;9,649;72,807;17,544;2,076;89,46;0,045;20;"DEPOTS ARGILO SABLEUX";0;1,16;5,821;159,891;17,269;1;-0,005;0,241;0,561;-0,218;0,607;-0,129;-0,254;0,672;0,438;-0,651;0,751;-0,417;3,183;"Plaine/collinéen détritique";"tres faible"
3058;"OUSSANCE à INGRANNES";"04050100";642350;6766462;117317;2018-05-14;0,25;NA;0,4;8,4;2,72;117;NA;1,5;NA;"";"continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"Pas de radier/ pas de woolman";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Oussance";15;NA;NA;NA;NA;NA;0,279;2,118;2,25;0,225;0,132;0,121;11,386;94,362;6,979;7,93;9,415;1,581;0,89;0,745;5,05;10,97;20,969;0,529;0,005;0,106;0,85;1,268;0,16;3,061;2,069;101,755;1,038;40,239;3;0,211;30;1;0,65;NA;100;0;0;0,05;22,45;0;20;"DEPOTS ARGILO SABLEUX";0;1;0,458;6,739;0,85;0;0,319;0;0,45;0,311;-0,855;0,445;0,937;-0,11;0,326;0,724;-1,547;0,644;4,289;"Plaine/collinéen détritique";"tres faible"
3094;"COSSON à LA FERTE-SAINT-CYR";"04052750";591970;6726348;117598;2018-08-21;0,177;NA;2;20,8;14;290;NA;0,9;NA;"";"isolée";"semi-continue";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"Pas de radier";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Cosson";15;NA;NA;NA;NA;NA;4,537;11,431;11,71;0,657;0,398;0,387;19,284;2,45;28,373;19,181;20,405;2,137;1,503;1,411;9,085;12,454;2,624;0,835;0,008;0,238;0,618;2,884;0,15;0,094;2,138;101,35;0,025;1,233;4;0,281;30;0;0,397;NA;60,177;39,823;0;1,722;616,78;0,618;20;"DEPOTS ARGILO SABLEUX";0;1;18,958;167,38;8,727;0;0,055;0,354;0,34;-0,294;0,644;-0,283;-0,035;1,037;0,217;-0,848;0,808;-0,7;3,645;"Plaine/collinéen détritique";"tres faible"
3124;"BOURILLON à MARCILLY-EN-VILLETTE";"04052650";635001;6739631;117564;2018-05-29;0,97;NA;0,65;7,8;4,5;109;NA;3,7;NA;"";"continue";"semi-continue";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Bourillon";15;22;32;51,32;0,586;24,539;0,845;3,535;3,701;0,325;0,214;0,2;14,795;55,08;6,615;6,945;7,802;1,393;0,954;0,846;5,111;30,722;19,832;0,548;0,005;0,216;0,891;0,486;0,07;3,066;1,882;101,355;1,02;104,098;3;0,178;30;2;0,595;NA;44,086;55,914;0;1,739;25,9;0,379;20;"DEPOTS ARGILO SABLEUX";0;1,05;1,809;65,661;9,454;1;0,137;0,002;0,264;0,146;0,134;0,3;0,267;-0,104;0,141;0,295;0,008;0,376;1,191;"Plaine/collinéen détritique";"tres faible"
3356;"BONNEE à GERMIGNY-DES-PRES";"04049800";643594;6750297;117292;2017-05-04;0,326;NA;1,1;16,36;7,83;229;NA;0,9;NA;"";"semi-continue";"semi-continue";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"1 seul radier. Station hyper colmatée.";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Bonnee";15;10,84;25;41,16;1,021;13,554;2,366;7,073;7,275;0,496;0,331;0,321;16,213;9,795;24,959;12,247;13,898;2,741;2,048;1,805;4,479;15,938;10,874;1,137;0,011;0,206;0,624;1,599;0,131;0,44;2,751;102,151;0,098;7,96;5;0,142;30;0;0,736;NA;80;16,842;3,158;1,588;182,89;0,202;20;"DEPOTS ARGILO SABLEUX";0;1,29;6,868;60,638;4,951;0;0,027;-0,268;-0,196;0,287;-0,094;0,371;-0,137;-0,978;-0,32;0,662;-0,351;0,506;2,952;"Plaine/collinéen détritique";"tres faible"
3511;"LA RIVIERETTE À LE FAVRIL (59)";"01002222";751388,22;7000538,78;178372;2019-06-04;0,018;NA;NA;7,5;2,82;NA;NA;3,1;NA;"blocs rocheux - débris ligneux - embâcles";"bosquets éparses";"semi-continue";"Contrôle de surveillance des cours d'eau du bassin Sambre";"Niveau d'eau bas";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Rivierette";15;15;21;36,8;0,697;16,613;0,649;3,19;3,33;0,275;0,188;0,179;14,751;1,569;7,524;6,837;7,929;1,617;1,113;0,955;4,27;29,055;0,638;0,654;0,007;0,128;0,621;0,832;0,122;0,086;1,618;101,18;0,026;2,88;3;0,164;30;0;NA;NA;35,659;47,287;17,054;1,845;25,442;0;20;"DEPOTS ARGILO SABLEUX";0;1,01;1,502;45,677;6,681;0;0,128;-0,176;0,185;0,3;-0,053;0,44;0,232;-0,683;0,062;0,694;-0,287;0,635;2,592;"Plaine/collinéen détritique";"tres faible"
3777;"LA TROUILLE À VILLERS SIRE NICOLE (59)";"01002226";772574;7026809;178375;2020-06-18;0,258;NA;1;8,5;7;119;NA;6,4;NA;"";"continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Escaut, Somme et cours d'eau côtiers de la Manche et de la Mer du Nord";"Transect 13 sous un pont donc non mesuré et décalé en transect 16";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Trouille";16;49,52;65;105;0,615;53,267;1,565;4,553;4,844;0,562;0,331;0,304;10,708;4,561;4,276;6,008;6,638;1,07;0,7;0,629;6,016;39,481;1,145;0,575;0,006;0,301;0,907;1,349;0,224;0,302;1,075;100,083;0,121;12,469;3;0,311;32;4;0,866;NA;11,765;32,353;55,882;1,913;43,947;0,092;20;"DEPOTS ARGILO SABLEUX";0;1,08;0;0;0;0;-0,191;0,128;0,759;-0,263;1,003;-0,476;-0,939;0,304;0,635;-0,767;1,373;-1,057;5,075;"Plaine/collinéen détritique";"faible"
4047;"VAVRET à LIGNAC";"04096200";561601;6595811;72372;2021-08-12;0,013;0,013;0,5;5,8;3,33;81,2;NA;4,5;NA;"";"semi-continue";"bosquets éparses";"Réseau de référence pérenne de la qualité des cours d'eau du bassin  Loire, cours d'eau côtiers vendéens et bretons";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Vavret";15;NA;NA;NA;NA;NA;0,193;1,783;1,878;0,173;0,1;0,093;13,005;4,876;3,987;5,399;6,259;1,125;0,74;0,636;4,815;28,087;0,965;0,428;0,004;0,105;0,865;0,853;0,158;0,248;1,129;100,773;0,092;8,1;3;0,146;30;0;NA;NA;100;0;0;0,154;26,82;0,492;20;"DEPOTS ARGILO SABLEUX";0;1,25;1,512;66,747;12,363;0;-0,127;-0,06;0,06;-0,077;0,351;-0,229;-0,704;-0,305;-0,064;-0,285;0,349;-0,6;2,306;"Plaine/collinéen détritique";"tres faible"
4161;"DHUY à SANDILLON";"04051125";628799;6746263;117353;2022-05-09;0,073;NA;0,58;10,3;4,08;144,2;NA;0,54;NA;"";"semi-continue";"semi-continue";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Dhuy";15;24,68;37;49,16;0,538;27,657;0,814;4,129;4,24;0,238;0,186;0,181;18,437;12,058;14,819;10,388;11,87;2,195;1,424;1,248;4,73;6,612;4,814;0,823;0,008;0,091;0,45;0,729;0,07;0,328;2,201;101,924;0,088;2,465;3;0,148;30;0;0,541;NA;42,857;57,143;0;1,759;136,21;0,39;20;"DEPOTS ARGILO SABLEUX";0;1,15;3,888;20,596;1,983;0;-0,035;-0,192;-0,119;0,146;-0,783;0,039;-0,366;-0,734;-0,243;0,295;-1,434;-0,106;3,179;"Plaine/collinéen détritique";"tres faible"
4198;"BEC D'ABLE à SULLY-SUR-LOIRE";"04049625";649256;6740396;117277;2022-05-30;0,098;NA;0,8;8,01;5,7;112,14;NA;1,9;NA;"";"absence";"absence";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Bec d'able";15;17,84;41;57,16;0,847;20,457;1,114;5,517;5,659;0,296;0,204;0,198;20,388;5,942;17,317;10,758;12,402;2,254;1,663;1,407;4,794;26,233;5,633;1,082;0,011;0,101;0,497;3,575;0,332;0,34;2,26;101,858;0,084;10,731;4;0,101;30;3;0,108;NA;55,046;43,119;1,835;1,477;91;0,836;20;"DEPOTS ARGILO SABLEUX";0;1,02;4,123;76,849;7,143;0;0,139;-0,151;-0,448;0,283;0,23;0,454;0,276;-0,599;-0,571;0,65;0,158;0,66;2,914;"Plaine/collinéen détritique";"tres faible"
4247;"THARONNE à NEUNG-SUR-BEUVRON";"04052265";611840;6719049;117496;2022-06-09;0,066;NA;0,6;5,8;0,6;81,2;NA;0,75;NA;"";"continue";"continue";"Contrôle de surveillance des cours d'eau du bassin Loire, cours d'eau côtiers vendéens  et bretons";"Milieu forestier";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Tharonne";15;2;13,5;22,16;1,437;2,16;0,105;0,725;1,005;0,229;0,149;0,097;3,654;108,774;2,199;5,034;6,368;1,125;0,45;0,335;4,509;2,463;3,158;0,445;0,004;0,102;0,647;1,87;0,372;2,07;1,43;101,171;1,129;6,443;3;0,138;30;0;1,299;NA;72,165;27,835;0;1,207;62,18;0,603;20;"DEPOTS ARGILO SABLEUX";0;1,07;2,407;17,71;3,518;0;-0,488;-0,185;-0,097;-0,307;-0,93;-1,365;-2,032;-0,71;-0,221;-0,883;-1,666;-2,696;8,207;"Plaine/collinéen détritique";"fort"
4332;"HELPE MINEURE À GRAND FAYT (59)";"01001131";757929;7002371;178369;2022-05-19;1,785;NA;1;12;7,5;168;NA;2,5;NA;"";"isolée";"isolée";"Contrôle de surveillance des cours d'eau du bassin Sambre";"";"2017";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Helpe mineure";15;13;27;43,16;0,825;16,963;2,756;8,58;8,838;0,497;0,315;0,304;20,393;28,637;39,78;17,189;20,124;3,363;2,315;1,975;5,123;48,448;89,677;1,241;0,012;0,217;0,69;1,836;0,107;2,292;3,635;102,929;0,484;129,315;4;0,304;30;1;0,152;NA;10,526;88,722;0,752;1,459;248,649;0,097;20;"DEPOTS ARGILO SABLEUX";0;1,27;11,074;271,59;15,801;0;0,26;-0,155;0,527;0,408;1,114;0,639;0,719;-0,612;0,404;0,975;1,548;1,002;5,259;"Plaine/collinéen détritique";"faible"
